map_id,order,Tournament,Stage,Match Type,Match Name,Map,Team,Opponent,team_score,opp_score,diff_team_rating_career_avg,diff_team_rating_last5_avg,diff_team_acs_career_avg,diff_team_acs_last5_avg,diff_team_adr_career_avg,diff_team_adr_last5_avg,diff_team_hs_career_avg,diff_team_hs_last5_avg,diff_team_kast_career_avg,diff_team_kast_last5_avg,diff_team_fkd_career_avg,diff_team_fkd_last5_avg,diff_team_won_career_avg,diff_team_won_last5_avg,diff_team_roster_experience,diff_team_onmap_won_career_avg,diff_team_onmap_won_last5_avg,h2h_won_career_avg,h2h_maps_played_prior,team_onmap_maps_played_prior,won
7,7,VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Abyss,KOI,Team Liquid,3,13,0.16799999999999993,0.16799999999999993,18.80000000000001,18.80000000000001,12.199999999999989,12.199999999999989,3.0,3.0,6.200000000000003,6.200000000000003,-1.2,-1.2,1.0,1.0,0.0,,,1.0,1.0,0.0,0
7,7,VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Abyss,Team Liquid,KOI,13,3,-0.16799999999999993,-0.16799999999999993,-18.80000000000001,-18.80000000000001,-12.199999999999989,-12.199999999999989,-3.0,-3.0,-6.200000000000003,-6.200000000000003,1.2,1.2,-1.0,-1.0,0.0,,,0.0,1.0,0.0,1
8,8,VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Bind,Team Liquid,KOI,13,10,0.20400000000000018,0.20400000000000018,17.400000000000006,17.400000000000006,7.299999999999997,7.299999999999997,-1.1000000000000014,-1.1000000000000014,7.599999999999994,7.599999999999994,1.8,1.8,0.0,0.0,0.0,,,0.5,2.0,0.0,1
8,8,VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Bind,KOI,Team Liquid,10,13,-0.20400000000000018,-0.20400000000000018,-17.400000000000006,-17.400000000000006,-7.299999999999997,-7.299999999999997,1.1000000000000014,1.1000000000000014,-7.599999999999994,-7.599999999999994,-1.8,-1.8,0.0,0.0,0.0,,,0.5,2.0,0.0,0
9,9,VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Pearl,Apeks,Gentle Mates,7,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0
9,9,VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Pearl,Gentle Mates,Apeks,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1
10,10,VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Haven,Apeks,Gentle Mates,12,14,-0.544,-0.544,-59.0,-59.0,-44.60000000000001,-44.60000000000001,-8.8,-8.8,-15.0,-15.0,-1.6,-1.6,-1.0,-1.0,0.0,,,0.0,1.0,0.0,0
10,10,VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Haven,Gentle Mates,Apeks,14,12,0.544,0.544,59.0,59.0,44.60000000000001,44.60000000000001,8.8,8.8,15.0,15.0,1.6,1.6,1.0,1.0,0.0,,,1.0,1.0,0.0,1
11,11,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Abyss,BBL Esports,FNATIC,13,8,0.059969696969697006,0.059969696969697006,13.012121212121201,13.012121212121201,7.836363636363657,7.836363636363657,-0.8484848484848442,-0.8484848484848442,1.903030303030306,1.903030303030306,0.5333333333333334,0.5333333333333334,0.16666666666666663,0.16666666666666663,3.0,,,,0.0,0.0,1
11,11,VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Abyss,FNATIC,BBL Esports,8,13,-0.059969696969697006,-0.059969696969697006,-13.012121212121201,-13.012121212121201,-7.836363636363657,-7.836363636363657,0.8484848484848442,0.8484848484848442,-1.903030303030306,-1.903030303030306,-0.5333333333333334,-0.5333333333333334,-0.16666666666666663,-0.16666666666666663,-3.0,,,,0.0,0.0,0
